Modelo,Accuracy,Precision,Recall,F1-Score,MCC
CNN_Simple,0.5778409090909091,0.6069418469319334,0.5778409090909091,0.5649683006592963,0.5491387579017167
DenseNet121,0.7857954545454545,0.795509996826505,0.7857954545454545,0.7856147752516762,0.7700777998650852
ResNet50,0.17556818181818182,0.11886796467118517,0.17556818181818182,0.127983566684729,0.11577503764082141
